Player,height,weight,collage,born,birth_city,birth_state,Num_of_Seasons,Num_of_Pos,Avg_Age,Num_of_Tms,Avg_Games,Avg_GS,Avg_MP,Avg_PER,Avg_TS%,Avg_3PAr,Avg_FTr,Avg_ORB%,Avg_DRB%,Avg_TRB%,Avg_AST%,Avg_STL%,Avg_BLK%,Avg_TOV%,Avg_USG%,Avg_OWS,Avg_DWS,Avg_WS,Avg_WS/48,Avg_OBPM,Avg_DBPM,Avg_BMP,Avg_VORP,Avg_FG,Avg_FGA,Avg_FG%,Avg_3P,Avg_3PA,Avg_3P%,Avg_2P,Avg_2PA,Avg_2P%,Avg_eFG%,Avg_FT,Avg_FTA,Avg_FT%,Avg_ORB,Avg_DRB,Avg_TRB,Avg_AST,Avg_STL,Avg_BLK,Avg_TOV,Avg_PF,Avg_PTS
"A.C. Green",203,106,,1960,,,16,2,29.89,5,75.61,50.28,2169.11,13.87,0.54,0.05,0.44,10.39,18.81,14.66,5.22,1.44,0.85,11.49,14.41,3.37,2.42,5.79,0.12,-0.51,0.42,-0.08,1.28,265.44,538.11,0.49,6.94,28.28,0.15,258.50,509.83,0.50,0.49,180.39,247.06,0.71,198.67,364.06,562.72,81.61,61.28,31.22,83.78,143.39,718.22
"A.J. English",196,95,,1963,,,2,1,23.50,1,75.50,9.00,1554.00,11.55,0.48,0.05,0.24,4.90,6.25,5.55,15.85,0.90,0.45,11.95,23.70,-0.20,0.70,0.55,0.02,-2.25,-2.85,-5.10,-1.20,308.50,709.00,0.44,4.50,32.50,0.14,304.00,676.50,0.45,0.44,129.50,166.50,0.77,70.00,87.50,157.50,160.00,28.50,12.00,101.50,143.50,751.00
"A.J. Guyton",208,99,,1976,,,2,1,22.50,1,39.00,7.00,618.50,11.05,0.49,0.43,0.10,2.05,5.70,3.80,20.85,0.85,0.75,11.65,19.35,0.20,-0.05,0.20,0.01,-0.90,-4.40,-5.30,-0.50,83.00,218.00,0.38,36.50,96.00,0.38,46.50,122.00,0.38,0.47,18.50,22.50,0.82,11.00,29.00,40.00,72.50,9.50,6.00,30.50,29.00,221.00
"A.J. Price",213,124,,1989,,,5,1,26.25,5,32.38,3.13,519.25,10.48,0.43,0.45,0.17,2.10,9.07,5.59,22.89,1.38,0.10,10.73,20.54,0.15,0.46,0.63,0.03,-1.44,-2.50,-3.91,-0.05,72.63,191.88,0.35,28.38,90.63,0.24,44.25,101.25,0.43,0.40,27.88,37.63,0.72,9.13,40.75,49.88,75.00,16.38,1.13,29.50,30.88,201.50
"Aaron Brooks",183,73,"University of Oregon",1985,Seattle,Washington,9,1,27.60,7,53.13,15.07,1139.20,12.33,0.51,0.42,0.18,2.24,6.46,4.35,23.84,1.40,0.88,15.49,22.15,0.87,0.66,1.55,0.05,-0.10,-2.47,-2.57,0.03,188.60,459.53,0.40,68.33,187.00,0.35,120.27,272.53,0.44,0.48,77.07,91.40,0.84,21.53,69.13,90.67,165.67,31.27,7.53,84.80,102.93,522.60
"Aaron Gordon",206,99,"University of Arizona",1995,"San Jose",California,3,2,20.00,1,68.33,39.00,1652.67,14.27,0.53,0.26,0.29,6.90,17.73,12.23,9.03,1.43,2.00,10.47,17.63,1.83,1.53,3.37,0.09,-0.80,0.27,-0.57,0.80,253.33,550.67,0.46,44.00,152.33,0.28,209.33,398.33,0.52,0.50,109.67,157.00,0.70,105.33,255.00,360.33,103.67,48.00,39.00,64.33,136.00,660.33
"Aaron Gray",213,122,"University of Pittsburgh",1984,Tarzana,California,7,1,26.36,5,35.18,8.45,410.64,10.90,0.53,0.00,0.39,13.79,23.45,18.60,10.00,1.12,1.62,23.15,15.73,0.15,0.52,0.65,0.06,-3.09,0.70,-2.36,0.03,46.27,91.55,0.51,0.00,0.36,0.00,46.27,91.18,0.51,0.51,19.73,34.45,0.56,47.09,80.82,127.91,22.82,10.27,9.64,28.55,72.36,112.27
"Aaron James",203,95,"Grambling State University",1952,"New Orleans",Louisiana,5,1,24.00,1,71.20,,1534.20,13.70,0.52,,0.25,6.84,11.68,9.28,7.34,0.92,0.42,13.05,20.30,1.56,1.06,2.64,0.08,-0.94,-2.10,-3.08,-0.34,321.80,669.40,0.48,,,,321.80,669.40,0.48,0.48,122.20,160.80,0.76,109.80,184.20,294.00,74.00,31.60,13.80,120.50,194.40,765.80
"Aaron McKie",196,94,"Temple University",1972,Philadelphia,Pennsylvania,11,3,26.33,4,62.20,22.00,1489.47,12.07,0.50,0.22,0.23,3.17,12.67,7.93,17.01,2.61,0.73,16.03,15.11,0.93,2.02,2.98,0.09,-1.14,1.43,0.28,0.95,169.33,392.93,0.42,29.40,84.87,0.32,139.93,308.07,0.44,0.46,72.40,92.47,0.77,38.40,161.67,200.07,162.53,72.07,13.27,81.00,124.07,440.47
"Aaron Williams",206,99,"Xavier University",1971,Evanston,Illinois,9,3,30.13,8,47.27,4.93,830.40,12.50,0.56,0.00,0.33,9.88,17.81,13.78,4.97,1.15,4.09,17.77,17.15,0.96,1.01,1.98,0.07,-3.77,0.37,-3.39,0.19,110.60,220.93,0.51,0.07,0.93,0.04,110.53,220.00,0.51,0.51,64.60,87.67,0.76,70.47,121.40,191.87,32.40,19.00,35.87,44.87,122.47,285.87
