"MEETINGS: ""None""",,
"DRINK: ""RedWine""",,
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many"""," DRINK: ""Whisky"""
"DRINK: ""None""",,
"MEETINGS: ""Few"""," DRINK: ""None""",
"MEETINGS: ""None"""," DRINK: ""None""",
"DRINK: ""WhiteWine""",,
"SYMPTOMS: ""Headache"""," DRINK: ""WhiteWine""",
"MEETINGS: ""None"""," DRINK: ""RedWine""",
"SYMPTOMS: ""Headache"""," MEETINGS: ""Many"""," DRINK: ""WhiteWine"""
"MEETINGS: ""Many""",,
"SYMPTOMS: ""Sinus"""," DRINK: ""RedWine""",
"MEETINGS: ""Many"""," DRINK: ""None""",
"DRINK: ""Beer""",,
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Many"""," DRINK: ""WhiteWine"""
"MEETINGS: ""Few""",,
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""None"""," DRINK: ""None"""
"SYMPTOMS: ""Headache"""," DRINK: ""Whisky""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""None"""," DRINK: ""WhiteWine"""
"MEETINGS: ""None"""," DRINK: ""Whisky""",
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Few"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Many""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Many"""," DRINK: ""Whisky"""
"MEETINGS: ""Many"""," DRINK: ""WhiteWine""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Few"""," DRINK: ""Bourbon"""
"DRINK: ""Whisky""",,
"SYMPTOMS: ""Sinus"""," DRINK: ""Beer""",
"MEETINGS: ""Few"""," DRINK: ""RedWine""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""None"""," DRINK: ""RedWine"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Few"""," DRINK: ""None"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""None"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""None"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Few"""," DRINK: ""Beer"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Many"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Sinus"""," DRINK: ""None""",
"SYMPTOMS: ""Ear Pain"""," DRINK: ""WhiteWine""",
"SYMPTOMS: ""Sinus"""," MEETINGS: ""None""",
"SYMPTOMS: ""Headache"""," MEETINGS: ""Few"""," DRINK: ""None"""
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""Many"""," DRINK: ""Beer"""
"MEETINGS: ""None"""," DRINK: ""Bourbon""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Few"""," DRINK: ""WhiteWine"""
"SYMPTOMS: ""Headache"""," MEETINGS: ""Many"""," DRINK: ""Whisky"""
"SYMPTOMS: ""Sinus""",,
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Many"""," DRINK: ""None"""
"SYMPTOMS: ""WateryEyes"""," DRINK: ""WhiteWine""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Few"""," DRINK: ""RedWine"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Many"""," DRINK: ""Whisky"""
"MEETINGS: ""Few"""," DRINK: ""Whisky""",
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Many"""," DRINK: ""Beer"""
"MEETINGS: ""Many"""," DRINK: ""Beer""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""None"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Dizzy"""," DRINK: ""RedWine""",
"SYMPTOMS: ""WateryEyes"""," DRINK: ""Bourbon""",
"SYMPTOMS: ""Dizzy"""," MEETINGS: ""Many"""," DRINK: ""RedWine"""
"SYMPTOMS: ""WateryEyes"""," MEETINGS: ""Few"""," DRINK: ""Bourbon"""
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Few""",
"SYMPTOMS: ""Sinus"""," MEETINGS: ""None"""," DRINK: ""None"""
"SYMPTOMS: ""Sinus"""," DRINK: ""Whisky""",
"DRINK: ""Bourbon""",,
"SYMPTOMS: ""Sinus"""," MEETINGS: ""Few"""," DRINK: ""RedWine"""
"MEETINGS: ""Many"""," DRINK: ""RedWine""",
"SYMPTOMS: ""Ear Pain"""," MEETINGS: ""None"""," DRINK: ""Beer"""
"MEETINGS: ""Few"""," DRINK: ""WhiteWine""",
