Blood_Pressure_Systolic,Blood_Pressure_Diastolic,Most_Listened_To_Song,Curse_Words_Per_Day,Starbucks_Visits_Per_Week,Party,Facebook_Friends,Avg_Drinks_Per_Day
116.32,83.98,Other,61.03,7.96,Know_Nothings,114,0.04
120.11,83.31,Drake-Gods_Plan,61.32,5.08,Know_Nothings,459,0.01
119.21,79.96,Camila_Cabello-Havana,61.51,11.14,Know_It_Alls,313,0.16
118.19,82.2,Drake-Gods_Plan,58.87,3.5,Know_Somethings,485,0.1
123.45,81.75,Ed_Sheeran-Perfect,59.48,2.56,Federalists,45,0.05
118.84,78.16,Other,62.28,2.35,Know_Nothings,185,0.04
128.46,78.77,Ed_Sheeran-Perfect,67.62,0.85,Federalists,294,0.15
126.5,77.94,Ed_Sheeran-Perfect,64.31,2.68,Federalists,126,0
118.8,76.17,Camila_Cabello-Havana,58.04,4.92,Know_It_Alls,298,0.01
121.72,76.32,Rage_Against_The_Machine-Testify,67.04,2.73,Know_Somethings,540,0.19
121.53,81.12,Drake-Gods_Plan,64.63,0.13,Federalists,412,0.01
119.97,77.08,Rage_Against_The_Machine-Testify,59.69,21.25,Know_Somethings,430,0.03
118.19,79.7,Rage_Against_The_Machine-Testify,60.34,20.27,Know_Somethings,384,0.52
124.49,78.39,Drake-Gods_Plan,64.88,7.3,Know_Somethings,431,0.11
124.65,78.07,Ed_Sheeran-Perfect,60.68,3.95,Know_Somethings,376,0.15
115.13,80.07,Ed_Sheeran-Perfect,59.14,5.97,Know_It_Alls,374,0.03
122.98,80.71,ACDC-ThunderStruck,65.31,4.97,Federalists,308,0.07
118.64,82.57,Other,57.63,6.09,Know_Nothings,471,0
118.51,81.08,Ed_Sheeran-Perfect,59.79,8.78,Know_Somethings,350,0.01
123.13,86.73,Camila_Cabello-Havana,60.46,2.9,Federalists,81,0.05
118.17,83.42,Drake-Gods_Plan,61.63,10.76,Know_It_Alls,246,0.03
116.84,83.2,Drake-Gods_Plan,61.93,2.35,Federalists,319,0.01
122.31,76.97,Ed_Sheeran-Perfect,64.06,1.78,Federalists,310,0.07
124.86,76.05,Camila_Cabello-Havana,62.18,3.5,Know_Somethings,304,0.15
121.01,84.46,Rage_Against_The_Machine-Testify,61.29,10.47,Know_Somethings,350,0.05
121.66,79.63,Ed_Sheeran-Perfect,63.76,7.15,Know_Somethings,291,0.03
121.01,77.01,Ed_Sheeran-Perfect,61.25,0.85,Federalists,314,0.1
118.04,89.86,Camila_Cabello-Havana,57,5.03,Federalists,206,0.16
118.9,80.92,Drake-Gods_Plan,59.51,6.33,Know_Somethings,398,0.03
123.17,77.47,Rage_Against_The_Machine-Testify,60.89,1.36,Know_Somethings,459,0.05
116.14,83.34,Drake-Gods_Plan,61.05,1.55,Federalists,373,0.24
120.68,79.4,Rage_Against_The_Machine-Testify,58.93,3.81,Know_Somethings,305,0.15
116.67,79.29,Other,59.23,2.4,Know_Nothings,270,0.08
118.96,79.02,Camila_Cabello-Havana,60.3,4.52,Know_Somethings,339,0.05
126.1,79.03,Rage_Against_The_Machine-Testify,63.08,2.58,Know_Somethings,271,0.19
121.37,77.21,Rage_Against_The_Machine-Testify,63.52,2.87,Know_Somethings,348,0.29
118.97,79.56,Rage_Against_The_Machine-Testify,61.1,17.02,Know_Somethings,318,0.04
118.53,79.41,Ed_Sheeran-Perfect,59.96,10.62,Know_It_Alls,393,0.03
118.59,79.09,Ed_Sheeran-Perfect,58.48,3.31,Know_Somethings,332,0.06
120.91,83.77,Rage_Against_The_Machine-Testify,61.78,0.5,Know_Somethings,215,0.02
117.5,82.3,Rage_Against_The_Machine-Testify,59.1,5.4,Know_Somethings,433,0.02
118.75,79.34,Camila_Cabello-Havana,63.71,6.48,Know_Somethings,471,0.11
120.59,83.32,Other,62.33,6.89,Know_Nothings,380,0
116.85,77.63,Camila_Cabello-Havana,59.43,6.6,Know_It_Alls,495,0
120.15,77.52,Drake-Gods_Plan,60.08,4.02,Know_Somethings,361,0.28
117.79,78.09,Rage_Against_The_Machine-Testify,61.53,12.79,Know_Somethings,378,0.13
124,78.94,Drake-Gods_Plan,63.53,2.91,Federalists,393,0.14
123.57,80.59,Ed_Sheeran-Perfect,61.76,2.66,Federalists,385,0.07
125.22,83.24,Drake-Gods_Plan,63.23,3.03,Know_Nothings,401,0.04
117.81,76.05,Drake-Gods_Plan,60.92,7.45,Know_It_Alls,207,0.07
117.52,78.51,Rage_Against_The_Machine-Testify,60.46,4.42,Know_Somethings,487,0.11
117.29,78.14,Camila_Cabello-Havana,60.31,0.83,Federalists,281,0.08
119.5,79.2,Drake-Gods_Plan,59.26,10.99,Know_It_Alls,293,0.11
